capability_id,business_goal,product_epic,feature,requirement,specification,architecture_decision,service_or_component,contract,implementation,test_evidence,release_evidence,customer_documentation,status
PSD-CAP-IDENTITY-001,PSD-GOAL-TRUST-001,PSD-EPIC-IDENTITY-001,Strong identity and session control,PSD-REQ-IDENTITY-000001,PSD-PEP-710,PSD-ADR-TBD,Identity Service,docs/api/organization.yaml,apps/api/src/identity.ts,apps/api/src/server.test.ts,release/0.4.1-recovery-safety/,docs/operations/identity-recovery-operator-guide.md,implemented-increment
PSD-CAP-TENANT-001,PSD-GOAL-TRUST-001,PSD-EPIC-PLATFORM-001,Tenant isolation,PSD-REQ-PLATFORM-000001,PSD-PEP-130,PSD-ADR-TBD,Organization and data platform,docs/api/organization.yaml,database/migrations/,apps/api/src/postgres.integration.test.ts,release/0.4.1-recovery-safety/,docs/specifications/PSD-PEP-130-tenant-architecture.md,implemented-foundation
PSD-CAP-ORG-001,PSD-GOAL-WORKFORCE-001,PSD-EPIC-HR-001,Organization membership authority,PSD-REQ-ORG-000002,PSD-PEP-220,PSD-ADR-TBD,Organization Service,docs/api/organization.yaml,apps/api/src/identity.ts,apps/api/src/server.test.ts,release/0.4.1-recovery-safety/,docs/specifications/PSD-PEP-220-organization-service.md,implemented-foundation
PSD-CAP-PERM-001,PSD-GOAL-TRUST-001,PSD-EPIC-PLATFORM-001,Default-deny authorization,PSD-REQ-PERM-000001,PSD-PEP-230,PSD-ADR-TBD,Permissions Service,docs/api/organization.yaml,packages/permissions/,packages/permissions/src/index.test.ts,release/0.4.1-recovery-safety/,docs/specifications/PSD-PEP-230-permissions-service.md,implemented-foundation
PSD-CAP-AUDIT-001,PSD-GOAL-TRUST-001,PSD-EPIC-PLATFORM-001,Immutable evidence,PSD-REQ-AUDIT-000002,PSD-PEP-240,PSD-ADR-TBD,Audit Service,docs/api/audit.yaml,database/migrations/,apps/api/src/postgres.integration.test.ts,release/0.4.1-recovery-safety/,docs/specifications/PSD-PEP-240-audit-service.md,implemented-foundation
PSD-CAP-HR-PERSON-001,PSD-GOAL-WORKFORCE-001,PSD-EPIC-HR-001,Tenant-scoped person records,PSD-REQ-HR-PERSON-000001,PSD-PEP-301,PSD-ADR-TBD,Person Service,docs/api/worker.yaml,apps/api/src/store.ts,apps/api/src/server.test.ts,release/0.3.0-runtime/,services/hr/docs/domain.md,implemented-foundation
PSD-CAP-HR-WORKER-001,PSD-GOAL-WORKFORCE-001,PSD-EPIC-HR-001,Worker lifecycle management,PSD-REQ-HR-WORKER-000001,PSD-PEP-3010,PSD-ADR-TBD,Worker Service,services/worker/api.yaml,database/worker/,tests/integration/,release/1.0.0/,services/worker/README.md,foundation
PSD-CAP-DOCUMENT-001,PSD-GOAL-WORKFORCE-001,PSD-EPIC-PLATFORM-001,Versioned private documents,PSD-REQ-DOCUMENT-000001,PSD-PEP-250,PSD-ADR-TBD,Documents Service,docs/api/documents.yaml,services/,tests/integration/,release/1.0.0/,docs/specifications/PSD-PEP-250-documents-service.md,planned
PSD-CAP-WORKFLOW-001,PSD-GOAL-WORKFORCE-001,PSD-EPIC-PLATFORM-001,Deterministic approvals and transitions,PSD-REQ-WORKFLOW-000001,PSD-PEP-260,PSD-ADR-TBD,Workflow Service,docs/api/workflow.yaml,services/,tests/integration/,release/1.0.0/,docs/specifications/PSD-PEP-260-workflow-service.md,planned
PSD-CAP-NOTIFY-001,PSD-GOAL-ADOPTION-001,PSD-EPIC-PLATFORM-001,Privacy-safe notifications,PSD-REQ-NOTIFY-000001,PSD-PEP-270,PSD-ADR-TBD,Notification Service,docs/api/notifications.yaml,services/,tests/integration/,release/1.0.0/,docs/specifications/PSD-PEP-270-notification-service.md,planned
PSD-CAP-LICENSE-001,PSD-GOAL-REVENUE-001,PSD-EPIC-COMMERCIAL-001,Tenant-scoped entitlements,PSD-REQ-LICENSE-000001,PSD-PEP-280,PSD-ADR-TBD,Licensing Service,docs/api/organization.yaml,services/,tests/integration/,release/1.0.0/,docs/licensing/README.md,planned
PSD-CAP-AI-CONV-001,PSD-GOAL-INTELLIGENCE-001,PSD-EPIC-AI-001,Permission-aware conversations,PSD-REQ-AI-CONV-000001,PSD-PEP-401,PSD-ADR-TBD,Domonique Conversation Engine,docs/api/ai.yaml,packages/ai/,tests/security/,release/1.0.0/,docs/specifications/PSD-PEP-401-conversation-prompt-engine.md,foundation
PSD-CAP-AI-GROUND-001,PSD-GOAL-INTELLIGENCE-001,PSD-EPIC-AI-001,Source-grounded answers,PSD-REQ-AI-GROUND-000001,PSD-PEP-402,PSD-ADR-TBD,Retrieval and Policy Engine,docs/api/ai.yaml,packages/ai/,tests/security/,release/1.0.0/,docs/specifications/PSD-PEP-402-retrieval-grounding-policy.md,planned
PSD-CAP-AI-TOOL-001,PSD-GOAL-INTELLIGENCE-001,PSD-EPIC-AI-001,Governed AI tools and approvals,PSD-REQ-AI-TOOL-000001,PSD-PEP-403,PSD-ADR-TBD,AI Tool Registry,docs/api/ai.yaml,apps/api/src/server.ts,apps/api/src/server.test.ts,release/0.4.1-recovery-safety/,docs/specifications/PSD-PEP-403-tools-approvals.md,implemented-foundation
PSD-CAP-DEPLOY-001,PSD-GOAL-SCALE-001,PSD-EPIC-DEPLOY-001,Governed deployment profiles,PSD-REQ-DEPLOY-000001,PSD-PEP-500,PSD-ADR-TBD,Deployment Platform,infrastructure/,infrastructure/,tests/acceptance/,release/1.0.0/,docs/specifications/PSD-PEP-500-enterprise-deployment.md,foundation
PSD-CAP-OBS-001,PSD-GOAL-RELIABILITY-001,PSD-EPIC-OPERATE-001,Correlated privacy-safe observability,PSD-REQ-OBS-000001,PSD-PEP-504,PSD-ADR-TBD,Telemetry Platform,infrastructure/monitoring/,packages/telemetry/,tests/performance/,release/1.0.0/,docs/specifications/PSD-PEP-504-observability-support.md,foundation
PSD-CAP-RELEASE-001,PSD-GOAL-TRUST-001,PSD-EPIC-RELEASE-001,Evidence-gated releases,PSD-REQ-CERT-000001,PSD-PEP-507,PSD-ADR-TBD,Release Certification,.github/workflows/,scripts/certification/,tests/acceptance/,release/,docs/specifications/PSD-PEP-507-certification-customer-operations.md,implemented-foundation
